State abbreviation,State nameplate capacity (MW),State total annual heat input (MMBtu),State annual net generation (MWh),State ozone season net generation (MWh),State annual NOx emissions (tons),State ozone season NOx emissions (tons),State annual SO2 emissions (tons),State annual CO2 emissions (tons),State annual CH4 emissions (lbs),State annual N2O emissions (lbs),State annual coal net generation (MWh),State annual oil net generation (MWh),State annual gas net generation (MWh),State annual nuclear net generation (MWh),State annual hydro net generation (MWh),State annual biomass net generation (MWh),State annual wind net generation (MWh),State annual solar net generation (MWh),State annual geothermal net generation (MWh),State annual other fossil net generation (MWh),State annual other unknown/ purchased fuel net generation (MWh),State annual total nonrenewables net generation (MWh),State annual total renewables net generation (MWh),State annual total nonhydro renewables net generation (MWh),State annual total combustion net generation (MWh),State annual total noncombustion net generation (MWh)
NV,19705,296753925,35801019,16880657,14438,6926,10623,17268190,2123037,291683,6547864,15030,22761837,,2389000,24568,300134,1013682,2728788,5151,14965,29344847,6456172,4067172,29369415,6431604
NY,50628,1303181506,133648655,57141331,27896,10478,21145,34851025,5008633,655981,4592054,2135858,54113043,43038624,25595572,2407602,3968407,70410,,901624,,104781204,32041992,6446419,64150183,72673013
OH,44231,1310596765,134484232,56715801,91403,34457,313246,107527606,22886922,3318339,89876110,1247509,23635609,16284440,478007,818467,1153418,53908,,936765,,131980432,2503801,2025793,116514460,17969773
OK,31554,674170800,70003762,31196241,39471,17013,76341,47430123,8405594,1205609,29905952,12494,26641474,,1322675,338355,11785091,,,-2279,,56557641,13446121,12123446,56895996,13107766
OR,19745,556408818,60110812,24045182,9564,3870,7795,9317739,1710318,230628,3192593,9884,12697634,,35261936,1142850,7555402,24042,183467,43004,,15943115,44167697,8905761,17085965,43024847
PA,59364,2142256625,221043692,92554528,131572,48219,275665,109308571,20508739,3258758,78985628,798048,53026191,78714659,2062504,2453301,3564730,62392,,1376238,,212900765,8142927,6080423,136639407,84404285
RI,2391,48300332,6239678,3438908,839,333,77,2785268,105997,11010,,73534,5935766,,3964,206694,9917,9803,,,,6009300,230378,226414,6215994,23684
SC,30335,975332063,97158465,41158706,16861,7524,28207,35581835,8026422,1174252,28914307,245574,11406640,52418553,1684631,2437710,,4785,,46265,,93031339,4127126,2442495,43050496,54107969
SD,4587,108712147,10995239,4562006,10613,4080,13860,3399901,725854,105225,2689216,6700,464817,,5498214,,2336293,,,,,3160732,7834507,2336293,3160732,7834507
TN,27143,807576225,79506886,34159212,19108,8889,54968,42356033,8999702,1316877,35874582,185127,6199618,27670006,8409467,1062378,51140,27481,,26454,634,69956421,9550466,1140999,43348793,36158094
TX,171075,3928926323,438052226,203399997,147530,69302,348426,259515373,37686790,5336892,148173726,278033,204531891,39287443,379588,1808239,39877998,256890,,2283212,381027,394935332,42322715,41943127,357456128,79801919
UT,10578,424658681,43784526,19728130,55166,23931,29271,38780766,8166905,1198102,33376688,24318,8376420,,632823,72530,659951,2235,521582,3575,114404,41895405,1889121,1256298,41967935,1816591
VA,33491,770555773,77345532,32511705,28359,11167,33404,33907673,8251390,1170183,20818584,1204907,20881566,30220977,-340166,3851803,,,,499767,,73625801,3511637,3851803,47256628,29880811
VT,1303,72484045,7024733,2913466,426,161,60,66889,446684,58696,,5473,2465,5060582,1175321,452707,311310,16875,,,,5068520,1956213,780892,460645,6564088
WA,33790,1099350440,116272503,51653721,9586,3547,4370,13039063,2754726,395650,6719928,23541,11058815,9497321,79458391,1839644,7205934,729,,401965,66234,27767804,88504698,9046307,20110127,96162375
WI,23301,622546796,61008458,26478220,26600,11203,45584,46199118,10164502,1473223,37449265,317636,8024266,9447096,2471773,1643196,1618001,1194,,29529,32208,55299999,5734164,3262391,47496099,13538064
WV,19025,793293828,80357568,32933562,70967,29615,95103,79396883,18397243,2707265,76817906,162125,653302,,1241974,,1451383,,,30878,,77664211,2693357,1451383,77664211,2693357
WY,13269,526339729,49696184,20037934,42689,17543,37992,49643934,11164764,1623554,43408651,45123,557121,,868710,,4405757,,,336768,74053,44421716,5274467,4405757,44421716,5274467
